Date,lat_group,param,value
2019-09-14,1,PM10,16.578609373749998
2019-09-14,1,PM25,6.81370335175
2019-09-15,4,PM10,10.552677085000001
2019-09-15,4,PM25,5.309333334250001
2019-09-15,3,PM10,19.94809218888889
2019-09-15,3,PM25,6.578936038666667
2019-09-15,2,PM10,23.52700447852778
2019-09-15,2,PM25,9.35515998486111
2019-09-15,1,PM10,16.64997916875
2019-09-15,1,PM25,6.24587587875
2019-09-16,4,PM10,11.7147395825
2019-09-16,4,PM25,5.4538333325
2019-09-16,3,PM10,31.099041665555553
2019-09-16,3,PM25,8.508442115000001
2019-09-16,2,PM10,32.148684631916666
2019-09-16,2,PM25,10.071786538555555
2019-09-16,1,PM10,15.916302084125
2019-09-16,1,PM25,5.086960906625
2019-09-17,4,PM10,23.4102395825
2019-09-17,4,PM25,11.948561011999999
2019-09-17,3,PM10,15.660185186666666
2019-09-17,3,PM25,5.2852471294444445
2019-09-17,2,PM10,9.689485714055555
2019-09-17,2,PM25,3.7431939758333335
2019-09-17,1,PM10,7.857989583875
2019-09-17,1,PM25,3.392774273
2019-09-18,4,PM10,3.97202083325
2019-09-18,4,PM25,2.1745298912499997
2019-09-18,3,PM10,6.9725787035555555
2019-09-18,3,PM25,3.4503794716666665
2019-09-18,2,PM10,13.107522273722221
2019-09-18,2,PM25,5.020552502888889
2019-09-18,1,PM10,6.964348958375
2019-09-18,1,PM25,2.47580922625
2019-09-19,4,PM10,6.036729167500001
2019-09-19,4,PM25,2.65754121375
2019-09-19,3,PM10,14.145103175555555
2019-09-19,3,PM25,5.427167502888889
2019-09-19,2,PM10,15.561133169027777
2019-09-19,2,PM25,5.634599162805555
2019-09-19,1,PM10,10.64370312375
2019-09-19,1,PM25,3.950496527625
2019-09-20,4,PM10,7.17302083425
2019-09-20,4,PM25,3.3395625007499996
2019-09-20,3,PM10,13.261712963333332
2019-09-20,3,PM25,4.861134223444444
2019-09-20,2,PM10,16.777617078250003
2019-09-20,2,PM25,5.616463978361111
2019-09-20,1,PM10,14.6359375
2019-09-20,1,PM25,4.56930955625
2019-09-21,4,PM10,11.310166665
2019-09-21,4,PM25,6.3013854157499996
2019-09-21,3,PM10,24.361069444444446
2019-09-21,3,PM25,10.32528609611111
2019-09-21,2,PM10,25.585550926944443
2019-09-21,2,PM25,9.566592809472223
2019-09-21,1,PM10,44.59443229625
2019-09-21,1,PM25,9.08004166625
2019-09-22,4,PM10,15.131708335
2019-09-22,4,PM25,7.27367708325
2019-09-22,3,PM10,28.661074074444443
2019-09-22,3,PM25,9.893277570333332
2019-09-22,2,PM10,24.547016707222223
2019-09-22,2,PM25,9.338360034861111
2019-09-22,1,PM10,14.473296874999999
2019-09-22,1,PM25,6.12294852175
2019-09-23,4,PM10,7.437354167500001
2019-09-23,4,PM25,2.37956845225
2019-09-23,3,PM10,17.105225644444445
2019-09-23,3,PM25,5.055077500444444
2019-09-23,2,PM10,11.700285859861111
2019-09-23,2,PM25,4.9545301749999995
2019-09-23,1,PM10,6.658041666375
2019-09-23,1,PM25,3.75540862325
