Site_Id,Date,SiteName,Longitude,Latitude,param,value
33,2019-10-12,RANDWICK,151.242802,-33.931776,PM2.5,6.227333333
33,2019-10-13,RANDWICK,151.242802,-33.931776,PM10,9.000208333
33,2019-10-13,RANDWICK,151.242802,-33.931776,PM2.5,6.268285714
33,2019-10-14,RANDWICK,151.242802,-33.931776,PM10,14.14816667
33,2019-10-14,RANDWICK,151.242802,-33.931776,PM2.5,10.23157143
33,2019-10-15,RANDWICK,151.242802,-33.931776,PM10,23.38820833
33,2019-10-15,RANDWICK,151.242802,-33.931776,PM2.5,10.78535294
33,2019-10-16,RANDWICK,151.242802,-33.931776,PM10,25.608
33,2019-10-16,RANDWICK,151.242802,-33.931776,PM2.5,14.43145455
33,2019-10-17,RANDWICK,151.242802,-33.931776,PM10,24.54031579
33,2019-10-17,RANDWICK,151.242802,-33.931776,PM2.5,9.662789474
33,2019-10-18,RANDWICK,151.242802,-33.931776,PM10,17.28525
33,2019-10-18,RANDWICK,151.242802,-33.931776,PM2.5,7.445714286
33,2019-10-19,RANDWICK,151.242802,-33.931776,PM10,24.42108333
33,2019-10-19,RANDWICK,151.242802,-33.931776,PM2.5,7.256272727
33,2019-10-20,RANDWICK,151.242802,-33.931776,PM10,12.41120833
33,2019-10-20,RANDWICK,151.242802,-33.931776,PM2.5,6.954181818
33,2019-10-21,RANDWICK,151.242802,-33.931776,PM10,18.369875
33,2019-10-21,RANDWICK,151.242802,-33.931776,PM2.5,9.6555
33,2019-10-22,RANDWICK,151.242802,-33.931776,PM10,18.225875
33,2019-10-22,RANDWICK,151.242802,-33.931776,PM2.5,9.8585
33,2019-10-23,RANDWICK,151.242802,-33.931776,PM10,20.696375
33,2019-10-23,RANDWICK,151.242802,-33.931776,PM2.5,9.201708333
33,2019-10-24,RANDWICK,151.242802,-33.931776,PM10,32.642625
33,2019-10-24,RANDWICK,151.242802,-33.931776,PM2.5,13.844
33,2019-10-25,RANDWICK,151.242802,-33.931776,PM10,43.48316667
33,2019-10-25,RANDWICK,151.242802,-33.931776,PM2.5,19.44908333
33,2019-10-26,RANDWICK,151.242802,-33.931776,PM10,63.27583333
33,2019-10-26,RANDWICK,151.242802,-33.931776,PM2.5,11.86813043
33,2019-10-27,RANDWICK,151.242802,-33.931776,PM10,19.90345833
33,2019-10-27,RANDWICK,151.242802,-33.931776,PM2.5,7.669733333
33,2019-10-28,RANDWICK,151.242802,-33.931776,PM10,19.51579167
33,2019-10-28,RANDWICK,151.242802,-33.931776,PM2.5,7.156
